Mask Value,T1,T2,Rho
0,382,68,70
1,1328,61,90
2,1142,154,90
3,1142,154,90
4,1142,154,90
5,809,34,90
6,1142,154,90
7,725,43,90
8,1142,154,90
9,1142,154,90
10,1,1,0
11,1,1,0
12,1718,15.3,70
13,1322,65.5,90
14,1322,65.5,90
15,1322,65.5,90
16,1142,154,90
17,1142,154,90
18,400,70,95
19,400,70,95
20,250,20,25
21,993,78,70
22,950,45,85
23,1300,100,95
24,1500,90,97
25,1550,100,97
26,1300,40,95
27,1300,40,95
28,1500,50,97
29,1500,50,97
30,400,70,95
31,400,70,95
32,400,70,95
33,400,70,95
34,400,70,95
35,400,70,95
36,400,70,95
37,400,70,95
38,1232.9,37.2,80
39,1232.9,37.2,80
40,1232.9,37.2,80
41,1232.9,37.2,80
42,1232.9,37.2,80
43,1232.9,37.2,80
44,1232.9,37.2,80
45,1232.9,37.2,80
46,1232.9,37.2,80
47,1232.9,37.2,80
48,1232.9,37.2,80
49,1232.9,37.2,80
50,1232.9,37.2,80
51,1232.9,37.2,80
52,1232.9,37.2,80
53,1232.9,37.2,80
54,1232.9,37.2,80
55,1232.9,37.2,80
201,275,90,95
202,300,80,90
203,1142,45,80

